"#","Catégorie","Nom","Affiliation / contexte","Persona joueur","Partie 1 (Camp · Figure · Mode → Issue)","Partie 2","Partie 3","Verdict après plays"
"—","NOTE MÉTHODE","Personas plausibles","Inférés des positions publiques — pas de citations réelles","À utiliser comme outil interne d'audit ; pour avis officiel contacter via affiliation","","","",""
"1","Informaticiens","Donald Knuth","Stanford — TAOCP","Algorithmicien rigoureux ; teste les invariants de la machine d'état","Patron · Schneider · Réfléchi → Sécu 1945 stable, Gini 0.42","Salarié · Jouhaux · Réfléchi → Amiens 1906, mandat tenu","","Demande la spec formelle des transitions d'état du moteur de scénarios"
"2","Informaticiens","Tim Berners-Lee","MIT, W3C — inventeur du Web","Hyperliens et accessibilité ; teste sans souris","Salarié · Berger · Réfléchi → ANI 2013","","","Le glossaire est l'esprit du Web ; auditer ARIA sur modales et swipe"
"3","Informaticiens","Linus Torvalds","Linux, Git","Pragmatique ; rejoue après le commit","Salarié · Pelletier · Compulsif → 1908","Patron · Seillière · Réfléchi → 2000","","Show me the code : publier les scénarios sous licence ouverte"
"4","Informaticiens","Gérard Berry","Collège de France — médaille d'or CNRS","Vérification formelle ; cherche les transitions impossibles","Patron · Mongon · Réfléchi → branche métallurgie 2022","","","La machine d'état mériterait une preuve formelle (Esterel-style) sur 5 invariants"
"5","Informaticiens","Joëlle Coutaz","Univ. Grenoble Alpes — IHM","Plasticité ; teste sur trois tailles d'écran","Salarié · Léon · Réfléchi → 2024","Patron · Carlac'h · Réfléchi → diversité 2020","","Sur mobile portrait étroit, le radar trajectoires se replie mal ; à corriger"
"6","Graphistes","Paula Scher","Pentagram NY","Typographie monumentale ; veut que le titre déborde","Salarié · Bouvier · Réfléchi → mutualité","","","Le titre PARITAS devrait DÉBORDER ; à 7rem il flotte poliment dans une boîte"
"7","Graphistes","Stefan Sagmeister","Sagmeister & Walsh","Audace conceptuelle ; cherche un objet visuel unique","Salarié · Pelletier · Compulsif → 1908","","","Manque un objet visuel unique : table en bois, signature, sceau de cire"
"8","Graphistes","Massimo Vignelli","Moderniste italien (†2014)","Trois tailles maximum ; pas de gradient","Patron · Seillière · Réfléchi → 2000","","","Ramener à trois tailles. Le gradient or sur PARITAS, c'est un casino"
"9","Graphistes","Jessica Hische","Lettering, illustration","Lettering dessiné, pas de web font","Salarié · Léon · Réfléchi → 2024","","","PARITAS mérite du custom lettering ; web font à ce stade dev, OK ; premier upgrade visuel à prévoir"
"10","Graphistes","Philippe Apeloig","Graphiste FR (Louvre, Orsay)","Romaine française pour sujet français","Salarié · Bouvier · Réfléchi → mutualité","","","Le fleuron ❦ est juste ; tester Sabon ou Le Monde Livre à la place de Cinzel"
"11","UX","Don Norman","UCSD, NN/g","Heuristique 5 secondes ; révélation progressive","Salarié · Berger · Réfléchi → 2016","Patron · Roux de Bézieux · Réfléchi → 2017","","Trop de jauges visibles d'emblée ; révélation progressive des 6 ressources"
"12","UX","Jakob Nielsen","Nielsen Norman Group","10 heuristiques classiques","Salarié · Notat · Réfléchi → 1995","","","Verrou + tooltip sur options grisées ; lien 'Revoir l'accueil' dans Settings"
"13","UX","Alan Cooper","About Face","Personas, modèles mentaux","Salarié · Berger · Réfléchi → ANI 2013","","","Le pitch parle au prof ; ajouter hook pour testeur curieux et syndicaliste"
"14","UX","Kim Goodwin","Goal-Directed Design","Personas concrètes","Patron · Asselin · Réfléchi → TPE 2020","","","Définir 3 personas (testeur/syndicaliste/prof) et tester les 3 funnels"
"15","UX","Michel Beaudouin-Lafon","Univ. Paris-Saclay — IHM","Feedforward d'interaction","Salarié · Léon · Réfléchi → 2024","","","Manque le feedforward au clic CTA : le joueur ne sait pas ce qu'il va voir"
"16","Game designers","Sid Meier","Firaxis — Civilization","Boucle décisionnelle longue à choix moraux","Patron · Martin · Réfléchi → 2024","Salarié · Berger · Réfléchi → 2016","Salarié · Pelletier · Compulsif → 1908","100 tours = 8-12h, le joueur décroche au tour 35-45 ; chapitres rejouables avec cliffhanger"
"17","Game designers","Hideo Kojima","Kojima Productions","Narration politique en jeu vidéo","Salarié · Martinez · Compulsif → 2016","Salarié · Pelletier · Compulsif → 1908","","Généraliser le mode Compulsif ; sinon le joueur reste extérieur à son personnage"
"18","Game designers","Jenova Chen","thatgamecompany — Journey","Émotion contemplative","Salarié · Bouvier · Réfléchi → mutualité","","","Garder la sobriété ; pas d'effets de particules"
"19","Game designers","Frédérick Raynal","Créateur d'Alone in the Dark — FR","Savoir-faire jeu narratif francophone","Salarié · Léon · Réfléchi → 2024","Patron · Picon · Réfléchi → artisanat 2026","","Densité des cartouches XIXe sature ; éviter les anglicismes (game over → la table se ferme)"
"20","Game designers","Jane McGonigal","Institute for the Future","Serious games civiques","Salarié · Léon · Réfléchi → 2024","","","Debrief mode post-partie pointant l'histoire réelle ; reformuler 'pas un divertissement' en positif"
"21","Game designers","Raph Koster","A Theory of Fun for Game Design","Apprentissage comme plaisir","Patron · Roux de Bézieux · Réfléchi → 2017","","","Le bouton 'Entrer dans l'histoire' ferme la porte au plaisir ludique : pari du sérieux assumé"
"22","Game designers","Brenda Romero","Romero Games — Train","Éthique du jeu mémoriel","Salarié · Pelletier · Compulsif → 1908","Salarié · Notat · Réfléchi → 1995","","Imposer une décision sans option honorable (1940 Charte, 1947 scission, 1995 Juppé)"
"23","Mathématiciens","Cédric Villani","IHP, Fields 2010","Vulgarisation, pédagogie des courbes","Patron · Seillière · Réfléchi → 2000","","","Les courbes des 6 ressources gagneraient des annotations pédagogiques"
"24","Mathématiciens","Maryam Mirzakhani","Stanford, Fields 2014 (†2017)","Géométrie","Salarié · Bouvier · Réfléchi → mutualité","","","Lecture probable : la trajectoire d'une partie est une géodésique sur l'espace des choix"
"25","Mathématiciens","Terence Tao","UCLA, Fields 2006","Combinatoire","Patron · Mongon · Réfléchi → branche","","","Combien d'arbres distincts dans 100 décisions ? Communiquer la diversité réelle"
"26","Mathématiciens","Alain Connes","Collège de France, Fields 1982","Géométrie non commutative","Salarié · Thibault · Réfléchi → Sécu","","","Les ressources ne commutent pas (l'ordre des choix compte) ; à expliciter"
"27","Mathématiciens","Étienne Ghys","ENS Lyon — dynamiques","Stabilité dynamique","Salarié · Berger · Réfléchi → 2016","","","Tester la stabilité par perturbation : 5 parties identiques avec ε de bruit"
"28","Sysadmin","Brendan Gregg","Performance, ex-Netflix","Profilage Linux/observabilité","Salarié · Léon · Réfléchi → 2024","","","Profiler le worker Haiku ; latence FALC > 800 ms casse le flow"
"29","Sysadmin","Tom Limoncelli","Pratique sysadmin et réseau","Résilience","Patron · Carlac'h · Réfléchi → 2020","","","Plan de reprise si le worker IA tombe : fallback texte original toujours servi"
"30","Sysadmin","Jessie Frazelle","Containers, ex-Microsoft","Sécurité, sandboxing","Salarié · Berger · Réfléchi → 2016","","","Le worker doit être sandboxé ; pas de leak du prompt utilisateur"
"31","Sound designers","Walter Murch","Cinéma — Apocalypse Now, Le Parrain","Narration par le silence","Patron · Schneider · Réfléchi → industrie XIXe","Salarié · Bouvier · Réfléchi → mutualité","","Bruit blanc d'époque en couche basse ; entrée landing en silence pur, à rendre délibéré"
"32","Sound designers","Ben Burtt","Star Wars, WALL·E","Signatures sonores","Patron · Mongon · Réfléchi → branche","","","Aucun whoosh au clic CTA ; il faut un SFX dédié court (tampon)"
"33","Sound designers","Akira Yamaoka","Silent Hill","Registre anxiogène","Salarié · Pelletier · Compulsif → 1908","","","Couper la musique 2s avant un choix lourd ; le silence est le SFX le plus puissant"
"34","Sound designers","Olivier Derivière","Compositeur jeu vidéo FR — A Plague Tale","Référence francophone contemporaine","Salarié · Léon · Réfléchi → 2024","Patron · Roux de Bézieux · Réfléchi → 2017","","Marseillaise = évidence facile ; thème original ou variation médiévale-baroque sur les corporations"
"35","Sound designers","Brian Eno","Pionnier ambient et génératif","Boucles d'ères, mood adaptatif","Salarié · Bouvier · Réfléchi → mutualité","","","Streamer par chapitre ; nappe ambient générative pour la landing, pas la Marseillaise"
"36","Historiens","Jacques Le Goff","EHESS — médiéviste (†2014)","Long-durée, mentalités","Salarié · Pelletier · Compulsif → 1908","","","Lecture probable : les mentalités collectives changent lentement ; à faire sentir aux transitions d'ère"
"37","Historiens","Patrick Boucheron","Collège de France","Histoire publique, narration","Salarié · Jouhaux · Réfléchi → Amiens","Patron · Schneider · Réfléchi → industrie","","Biographie comme méthode ; mais figures à charger d'ambivalence (Vichy, Riom)"
"38","Historiens","Michelle Perrot","Paris-Diderot — femmes et ouvriers","Voix des invisibles","Salarié · Bouvier · Réfléchi → mutualité","Salarié · Pelletier · Compulsif → anarcho-féminisme","","Ajouter Pelletier, Baud, Bouvier, Carlier ; sans elles, moitié d'histoire ouvrière"
"39","Historiens","Gérard Noiriel","EHESS — sociohistoire de l'immigration","Migration et travail","Salarié · Pelletier · Compulsif → marges 1908","","","Auditer la dimension coloniale et migratoire ; relecture-spot des reformulations FALC"
"40","Historiens","Quentin Deluermoz","Paris Cité — XIXe","Mouvements sociaux XIXe","Salarié · Bouvier · Réfléchi → mutualité","Salarié · Baud · Compulsif → Vizille 1906","","Bonne épaisseur du XIXe ; vérifier la chronologie 1864 (Ollivier)"
"41","Historiens","Howard Zinn","Boston U — A People's History (†2010)","Histoire par en bas","Salarié · Pelletier · Compulsif → 1908","Salarié · Bouvier · Compulsif → mutualité","","Lecture probable : le jeu doit donner voix aux oubliés ; bien fait quand les figures féminines seront là"
"42","Historiens","Eric Hobsbawm","Birkbeck — marxiste (†2012)","Cadre marxiste classique","Salarié · Martinez · Compulsif → 2016","","","Lecture probable : les longues phases (1789-1848-1914-1945) à rendre explicites"
"43","Économistes","Thomas Piketty","PSE — Capital","Inégalités longue-durée","Patron · Seillière · Réfléchi → 2000","Salarié · Notat · Réfléchi → 1995","","Coefficient de Gini sectoriel persistant ; les 6 jauges racontent une carrière, pas une distribution"
"44","Économistes","Daniel Cohen","PSE, ENS (†2023)","Économie politique grand public","Salarié · Berger · Réfléchi → 2016","","","Lecture probable : la pédagogie est juste, le débat absent ; ajouter les controverses contemporaines"
"45","Économistes","Robert Boyer","EHESS — école de la régulation","Modes de régulation du capitalisme","Patron · Aglietta · Réfléchi → 1980s","Patron · Parisot · Réfléchi → 2008","","Les modes de régulation (fordiste, post-fordiste) à structurer comme chapitres"
"46","Économistes","Michel Aglietta","Paris Nanterre — régulationniste","Paritarisme institutionnel","Patron · Aglietta · Réfléchi → 1980s","Salarié · Thibault · Réfléchi → Sécu","","Le paritarisme institutionnel mérite un focus dédié au tour 1947"
"47","Économistes","Mariana Mazzucato","UCL — Entrepreneurial State","État stratège, mission economy","Patron · Mongon · Réfléchi → branche","","","Le paritarisme comme mission d'État, pas comme négociation privée"
"48","Économistes","Bruno Palier","Sciences Po, CEE — welfare comparé","Comparatif États-providence","Salarié · Berger · Réfléchi → ANI","Patron · Carlac'h · Réfléchi → 2020","","La France comme cas hybride à montrer dans la comparaison Sciences Po"
"49","Économistes","Gøsta Esping-Andersen","Pompeu Fabra — Trois mondes","Typologie","Salarié · Berger · Réfléchi → ANI","Patron · Roux de Bézieux · Réfléchi → 2017","","Classer la trajectoire dans les trois mondes (libéral / corporatiste / social-démocrate) en épilogue"
"50","Sociologues","Pierre Bourdieu","Collège de France — habitus, capitaux (†2002)","Capitaux comme grille","Salarié · Bouvier · Réfléchi → mutualité","Patron · Schneider · Réfléchi → industrie","","Lecture probable : nommer les 6 ressources comme capitaux (économique, symbolique, social, culturel)"
"51","Sociologues","Bruno Latour","Sciences Po — ANT (†2022)","Théorie de l'acteur-réseau, controverses","Salarié · Berger · Réfléchi → ANI","","","Lecture probable : faire circuler les non-humains (formulaire, grille indiciaire, timbre fiscal)"
